time,survival_probability
0.0,1.0
384.1338080366203,0.9384903498413327
768.2676160732406,0.8931339381897749
1152.4014241098607,0.8535315381038929
1536.5352321464811,0.8177422791965696
1920.6690401831015,0.7848498935947729
2304.8028482197215,0.7543097222419399
2688.936656256342,0.7257562335106784
3073.0704642929622,0.6989247734704408
3457.2042723295826,0.6736134984085531
3841.338080366203,0.6496625389933068
4225.471888402823,0.6269415939894275
4609.605696439443,0.6053420587902423
4993.739504476063,0.5847717764195809
5377.873312512684,0.5651513941188328
5762.007120549304,0.5464117494790284
6146.1409285859245,0.5284919425357693
6530.274736622545,0.5113378799090257
6914.408544659165,0.49490115287431713
7298.542352695786,0.479138157372055
7682.676160732406,0.46400939300173194
8066.8099687690255,0.4494788968872366
8450.943776805647,0.43551378084678616
8835.077584842267,0.42208384885403927
9219.211392878886,0.4091612777295949
9603.345200915506,0.396720348222873
9987.479008952127,0.38473721668797073
10371.612816988747,0.3731897197856427
10755.746625025367,0.36205720629821747
11139.880433061988,0.3513203913886228
11524.014241098608,0.34096122958153424
11908.148049135229,0.33096280347296614
12292.281857171849,0.3213092257404792
12676.41566520847,0.3119855524699196
13060.54947324509,0.3029777061656194
13444.68328128171,0.29427240709090047
13828.81708931833,0.2858571118106269
14212.950897354951,0.27771995798955085
14597.084705391571,0.2698497146484464
14981.218513428192,0.2622357372015526
15365.352321464812,0.25486792669905234
15749.48612950143,0.2477366927814059
16133.619937538051,0.2408329199216089
16517.75374557467,0.23414793658947458
16901.887553611294,0.22767348702086654
17286.021361647912,0.22140170531610498
17670.155169684534,0.21532509162682573
18054.288977721153,0.20943649022046523
18438.42278575777,0.20372906923712794
18822.556593794394,0.19819630197557145
19206.690401831012,0.19283194956399347
19590.824209867635,0.18763004488769452
19974.958017904253,0.1825848776599166
20359.091825940875,0.17769098053453855
20743.225633977494,0.17294311617012437
21127.359442014116,0.1683362651642842
21511.493250050735,0.1638656147856239
21895.627058087357,0.15952654843787248
22279.760866123976,0.15531463579723992
22663.894674160598,0.15122562356976718
23048.028482197216,0.14725542682050075
23432.16229023384,0.14340012083082476
23816.296098270457,0.1396559334442976
24200.42990630708,0.13601923786491818
24584.563714343698,0.13248654587495276
24968.697522380317,0.12905450144231873
25352.83133041694,0.125719874690105
25736.965138453557,0.12247955620312008
26121.09894649018,0.11933055164845213
26505.232754526798,0.11626997668891044
26889.36656256342,0.11329505216991932
27273.50037060004,0.1104030995619843
27657.63417863666,0.10759153664224491
28041.76798667328,0.10485787339990627
28425.901794709902,0.10219970815149375
28810.03560274652,0.09961472385293321
29194.169410783143,0.09710068459641699
29578.30321881976,0.09465543228089862
29962.437026856383,0.09227688344585838
30346.570834893002,0.08996302625872164
