model,throughput_threshold,rows,failure_rate,tn,fp,fn,tp,pr_auc,roc_auc,recall,precision,f1,mcc,tuning_pr_auc
catboost,109.01426471333333,4395.333333333333,0.10078826788789615,3895.6666666666665,56.666666666666664,22.333333333333332,420.6666666666667,0.9668881207644023,0.9875336310958561,0.9496711182410356,0.8818353720830361,0.9144741808344334,0.9052363469298207,0.9649663785591219
dummy,109.01426471333333,4395.333333333333,0.10078826788789615,3952.3333333333335,0.0,443.0,0.0,0.10078826788789615,0.5,0.0,,0.0,,
logistic,109.01426471333333,4395.333333333333,0.10078826788789615,3733.0,219.33333333333334,25.333333333333332,417.6666666666667,0.8819400207146085,0.9794448026310695,0.9428156162137324,0.6555278915662569,0.7732886849982439,0.7587087237341411,
