fold,model,throughput_threshold,status,rows,failure_rate,tn,fp,fn,tp,pr_auc,roc_auc,recall,precision,f1,mcc,tuning_pr_auc
1,dummy,110.27097774,completed,4396,0.10668789808917198,3927,0,469,0,0.10668789808917198,0.5,0.0,,0.0,,
1,logistic,110.27097774,completed,4396,0.10668789808917198,3703,224,26,443,0.858813452341804,0.9785270960487316,0.9445628997867804,0.664167916041979,0.7799295774647887,0.7637247102494635,
1,catboost,110.27097774,completed,4396,0.10668789808917198,3861,66,24,445,0.9629817498477392,0.9879371015706147,0.9488272921108742,0.8708414872798435,0.9081632653061225,0.8977107122137785,0.9608069986060063
2,dummy,108.7163571,completed,4395,0.0987485779294653,3961,0,434,0,0.0987485779294653,0.5,0.0,,0.0,,
2,logistic,108.7163571,completed,4395,0.0987485779294653,3751,210,29,405,0.8566321592647148,0.9760097587422065,0.9331797235023042,0.6585365853658537,0.7721639656816015,0.7568796725488315,
2,catboost,108.7163571,completed,4395,0.0987485779294653,3901,60,26,408,0.9588009243996799,0.9842400618007136,0.9400921658986175,0.8717948717948718,0.9046563192904656,0.8945601995001449,0.9696187795550304
3,dummy,108.0554593,completed,4395,0.09692832764505119,3969,0,426,0,0.09692832764505119,0.5,0.0,,0.0,,
3,logistic,108.0554593,completed,4395,0.09692832764505119,3745,224,21,405,0.9303744505373069,0.9837975531022702,0.9507042253521126,0.643879173290938,0.7677725118483413,0.7555217884041286,
3,catboost,108.0554593,completed,4395,0.09692832764505119,3925,44,17,409,0.9788816880457877,0.9904237299162405,0.960093896713615,0.9028697571743929,0.9306029579067122,0.9234381290755387,0.964473357516329
