model,protocol,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,failure_recall_mean,failure_recall_std,failure_recall_ci95_low,failure_recall_ci95_high,failure_precision_mean,failure_precision_std,failure_precision_ci95_low,failure_precision_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,brier_score_mean,brier_score_std,brier_score_ci95_low,brier_score_ci95_high,capture_at_budget_mean,capture_at_budget_std,capture_at_budget_ci95_low,capture_at_budget_ci95_high,threshold_mean,threshold_std,threshold_ci95_low,threshold_ci95_high,fit_seconds_mean,fit_seconds_std,fit_seconds_ci95_low,fit_seconds_ci95_high,inference_seconds_mean,inference_seconds_std,inference_seconds_ci95_low,inference_seconds_ci95_high
catboost,repeated_cv,0.16679746431114925,0.023870584918782096,0.13978535459914682,0.1938095740231517,0.307563025210084,0.0308530415977913,0.27264952194134906,0.34247652847881893,0.1776528793335516,0.028738693405918614,0.14513198628038373,0.21017377238671944,0.6021726044913539,0.014191165897482623,0.5861137885273425,0.6182314204553653,0.15984772800619418,0.02717497693267763,0.1290963467214797,0.19059910929090865,0.06174631511763754,0.001014594341581925,0.06059819353782558,0.06289443669744951,0.2689075630252101,0.02911009760619961,0.23596638655462185,0.3018487394957983,0.0633792672215955,0.0008363525170306744,0.062432845253939134,0.06432568918925186,28.369843097334524,0.7038599145120629,27.573350623548485,29.166335571120563,0.010590985999442637,0.0006743108570044885,0.009827931432016941,0.011354040566868333
catboost,temporal,0.04827302984216538,0.0,0.04827302984216538,0.04827302984216538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4781144781144781,0.0,0.4781144781144781,0.4781144781144781,-0.04972040578262127,0.0,-0.04972040578262127,-0.04972040578262127,0.05152579299161441,0.0,0.05152579299161441,0.05152579299161441,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.07199982289336793,0.0,0.07199982289336793,0.07199982289336793,27.270622124997317,0.0,27.270622124997317,27.270622124997317,0.009253374999389052,0.0,0.009253374999389052,0.009253374999389052
dummy,repeated_cv,0.06636850472150796,0.0010709462777833238,0.06515661492284694,0.06758039452016898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06196468141597696,0.0009279772601588012,0.060914576290906075,0.06301478654104785,0.05714285714285714,0.07559289460184544,0.0,0.14268427011536616,0.5,0.0,0.5,0.5,0.06913227766684334,0.0006969157734598425,0.06834364322840064,0.06992091210528603,0.00892800033276823,0.00029678856318963065,0.008592152457342355,0.009263848208194104
dummy,temporal,0.054140127388535034,0.0,0.054140127388535034,0.054140127388535034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05144285695664376,0.0,0.05144285695664376,0.05144285695664376,0.23529411764705882,0.0,0.23529411764705882,0.23529411764705882,0.5,0.0,0.5,0.5,0.07700245900196023,0.0,0.07700245900196023,0.07700245900196023,0.007484917001420399,0.0,0.007484917001420399,0.007484917001420399
logistic,repeated_cv,0.11332337204331981,0.05745322867611592,0.04830892344106125,0.17833782064557838,0.39215686274509803,0.2842688764284223,0.07047634658186114,0.713837378908335,0.12926652142338418,0.07702222863412217,0.042107664729813324,0.21642537811695506,0.5202276217990478,0.09858442678969566,0.40866884092297373,0.6317864026751219,0.04043095894516244,0.16102927192808683,-0.1417908163052147,0.22265273419553958,0.061957900691124175,0.0009299891955728933,0.06090551884680557,0.06301028253544279,0.16358543417366947,0.15753856019214554,0.0,0.3418570972376448,0.066605074870885,0.0005841589986914084,0.06594403673480272,0.06726611300696729,0.35041319433488144,0.03312900618722856,0.31292419468012633,0.38790219398963655,0.009438861333668077,0.0007046725914984518,0.0086414492292994,0.010236273438036755
logistic,temporal,0.03471632801451035,0.0,0.03471632801451035,0.03471632801451035,0.7647058823529411,0.0,0.7647058823529411,0.7647058823529411,0.0436241610738255,0.0,0.0436241610738255,0.0436241610738255,0.4025549613784908,0.0,0.4025549613784908,0.4025549613784908,-0.20055074966056563,0.0,-0.20055074966056563,-0.20055074966056563,0.06412279398631544,0.0,0.06412279398631544,0.06412279398631544,0.0,0.0,0.0,0.0,0.069114246977973,0.0,0.069114246977973,0.069114246977973,0.37864175000140676,0.0,0.37864175000140676,0.37864175000140676,0.007744292001007125,0.0,0.007744292001007125,0.007744292001007125
