model,protocol,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,failure_recall_mean,failure_recall_std,failure_recall_ci95_low,failure_recall_ci95_high,failure_precision_mean,failure_precision_std,failure_precision_ci95_low,failure_precision_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,brier_score_mean,brier_score_std,brier_score_ci95_low,brier_score_ci95_high,capture_at_budget_mean,capture_at_budget_std,capture_at_budget_ci95_low,capture_at_budget_ci95_high,threshold_mean,threshold_std,threshold_ci95_low,threshold_ci95_high,fit_seconds_mean,fit_seconds_std,fit_seconds_ci95_low,fit_seconds_ci95_high,inference_seconds_mean,inference_seconds_std,inference_seconds_ci95_low,inference_seconds_ci95_high
dummy,repeated_cv,0.06636850472150796,0.0010709462777833238,0.06515661492284694,0.06758039452016898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06196468141597696,0.0009279772601588012,0.060914576290906075,0.06301478654104785,0.05714285714285714,0.07559289460184544,0.0,0.14268427011536616,0.5,0.0,0.5,0.5,0.06793343033253525,0.00042808650659036253,0.06744900484729513,0.06841785581777537,0.008644403016660362,0.0006558124678377111,0.007902281347166092,0.009386524686154633
dummy,temporal,0.054140127388535034,0.0,0.054140127388535034,0.054140127388535034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05144285695664376,0.0,0.05144285695664376,0.05144285695664376,0.23529411764705882,0.0,0.23529411764705882,0.23529411764705882,0.5,0.0,0.5,0.5,0.07519900001352653,0.0,0.07519900001352653,0.07519900001352653,0.007539040991105139,0.0,0.007539040991105139,0.007539040991105139
logistic,repeated_cv,0.11332337204331981,0.05745322867611592,0.04830892344106125,0.17833782064557838,0.39215686274509803,0.2842688764284223,0.07047634658186114,0.713837378908335,0.12926652142338418,0.07702222863412217,0.042107664729813324,0.21642537811695506,0.5202276217990478,0.09858442678969566,0.40866884092297373,0.6317864026751219,0.04043095894516244,0.16102927192808683,-0.1417908163052147,0.22265273419553958,0.061957900691124175,0.0009299891955728933,0.06090551884680557,0.06301028253544279,0.16358543417366947,0.15753856019214554,0.0,0.3418570972376448,0.066605074870885,0.0005841589986914084,0.06594403673480272,0.06726611300696729,0.3426379026689877,0.011987481405942486,0.3290727904603997,0.35620301487757566,0.009437361334372932,0.0009742892681453735,0.008334849238757634,0.01053987342998823
logistic,temporal,0.03471632801451035,0.0,0.03471632801451035,0.03471632801451035,0.7647058823529411,0.0,0.7647058823529411,0.7647058823529411,0.0436241610738255,0.0,0.0436241610738255,0.0436241610738255,0.4025549613784908,0.0,0.4025549613784908,0.4025549613784908,-0.20055074966056563,0.0,-0.20055074966056563,-0.20055074966056563,0.06412279398631544,0.0,0.06412279398631544,0.06412279398631544,0.0,0.0,0.0,0.0,0.069114246977973,0.0,0.069114246977973,0.069114246977973,0.36170124998898245,0.0,0.36170124998898245,0.36170124998898245,0.00686558400047943,0.0,0.00686558400047943,0.00686558400047943
